measureType,king_kor,king_eng,city_ID,city_kor,city_eng,city_color,score,long,lat
frequency,태조,Taejo,0,개경,Gaegyeong,#17ADF3,1,126.619833,37.952269
frequency,태조,Taejo,1,정주,Jeongju,#70C459,4,125.206375,39.68846
frequency,태조,Taejo,2,나주,Naju,#F31735,4,126.718034,34.987771
frequency,태조,Taejo,3,충주,Chungju,#7117F3,2,127.898682,36.985383
frequency,태조,Taejo,4,황주,Hwangju,#69DE82,4,125.77577,38.669308
frequency,태조,Taejo,5,경주,Gyeongju,#F32817,7,129.220572,35.833987
frequency,태조,Taejo,6,명주,Myeongju,#DEC069,4,128.896978,37.788721
frequency,태조,Taejo,7,평주,Pyeongju,#69DCDE,9,126.408036,38.329214
frequency,태조,Taejo,8,진주,Jinju,#F31764,2,128.081181,35.191929
frequency,태조,Taejo,9,홍주,Hongju,#7E17F3,2,126.654899,36.621606
frequency,태조,Taejo,10,합주,Hapju,#F31788,2,128.10602,35.546972
frequency,태조,Taejo,11,광주,Gwangju,#1732F3,3,127.271336,37.404627
frequency,태조,Taejo,12,승주,Seungju,#F31746,2,127.400603,35.026826
frequency,태조,Taejo,13,춘주,Chunju,#DECB69,2,127.754494,37.873067
frequency,태조,Taejo,14,동주,Dongju,#69DEC2,3,126.16976,38.426495
frequency,태조,Taejo,15,불명,unknown,#AAACB9,3,0,0
frequency,태조,Taejo,16,신주,Sinju,#69DEA7,2,125.48408,38.357103
frequency,태조,Taejo,17,의성,Uiseong,#F33F17,3,128.64861,36.292603
frequency,태조,Taejo,18,해평,Haepyeong,#F37417,2,128.419557,36.239348
frequency,태조,Taejo,19,청주,Cheongju,#9C17F3,0,127.509353,36.652229
frequency,태조,Taejo,20,상주,Sangju,#AD17F3,0,128.166729,36.412928
frequency,태조,Taejo,21,선산,Seonsan,#F35D17,0,128.301303,36.262579
frequency,태조,Taejo,22,안산,Ansan,#3517F3,0,126.823336,37.315094
frequency,태조,Taejo,23,이천,Icheon,#4917F3,0,127.42989,37.275543
frequency,태조,Taejo,24,서천,Seocheon,#B06ECD,0,126.708324,36.085376
frequency,태조,Taejo,25,양주,Yangju,#A2D6E2,0,127.105452,37.845503
frequency,태조,Taejo,26,전주,Jeonju,#DE699E,0,127.145666,35.816365
frequency,혜종,Hyejong,0,개경,Gaegyeong,#17ADF3,3,126.619833,37.952269
frequency,혜종,Hyejong,1,정주,Jeongju,#70C459,4,125.206375,39.68846
frequency,혜종,Hyejong,2,나주,Naju,#F31735,4,126.718034,34.987771
frequency,혜종,Hyejong,3,충주,Chungju,#7117F3,2,127.898682,36.985383
frequency,혜종,Hyejong,4,황주,Hwangju,#69DE82,4,125.77577,38.669308
frequency,혜종,Hyejong,5,경주,Gyeongju,#F32817,8,129.220572,35.833987
frequency,혜종,Hyejong,6,명주,Myeongju,#DEC069,4,128.896978,37.788721
frequency,혜종,Hyejong,7,평주,Pyeongju,#69DCDE,9,126.408036,38.329214
frequency,혜종,Hyejong,8,진주,Jinju,#F31764,5,128.081181,35.191929
frequency,혜종,Hyejong,9,홍주,Hongju,#7E17F3,2,126.654899,36.621606
frequency,혜종,Hyejong,10,합주,Hapju,#F31788,2,128.10602,35.546972
frequency,혜종,Hyejong,11,광주,Gwangju,#1732F3,4,127.271336,37.404627
frequency,혜종,Hyejong,12,승주,Seungju,#F31746,2,127.400603,35.026826
frequency,혜종,Hyejong,13,춘주,Chunju,#DECB69,2,127.754494,37.873067
frequency,혜종,Hyejong,14,동주,Dongju,#69DEC2,3,126.16976,38.426495
frequency,혜종,Hyejong,15,불명,unknown,#AAACB9,3,0,0
frequency,혜종,Hyejong,16,신주,Sinju,#69DEA7,2,125.48408,38.357103
frequency,혜종,Hyejong,17,의성,Uiseong,#F33F17,3,128.64861,36.292603
frequency,혜종,Hyejong,18,해평,Haepyeong,#F37417,2,128.419557,36.239348
frequency,혜종,Hyejong,19,청주,Cheongju,#9C17F3,3,127.509353,36.652229
frequency,혜종,Hyejong,20,상주,Sangju,#AD17F3,0,128.166729,36.412928
frequency,혜종,Hyejong,21,선산,Seonsan,#F35D17,0,128.301303,36.262579
frequency,혜종,Hyejong,22,안산,Ansan,#3517F3,0,126.823336,37.315094
frequency,혜종,Hyejong,23,이천,Icheon,#4917F3,0,127.42989,37.275543
frequency,혜종,Hyejong,24,서천,Seocheon,#B06ECD,0,126.708324,36.085376
frequency,혜종,Hyejong,25,양주,Yangju,#A2D6E2,0,127.105452,37.845503
frequency,혜종,Hyejong,26,전주,Jeonju,#DE699E,0,127.145666,35.816365
frequency,정종,Jeongjong,0,개경,Gaegyeong,#17ADF3,4,126.619833,37.952269
frequency,정종,Jeongjong,1,정주,Jeongju,#70C459,4,125.206375,39.68846
frequency,정종,Jeongjong,2,나주,Naju,#F31735,4,126.718034,34.987771
frequency,정종,Jeongjong,3,충주,Chungju,#7117F3,2,127.898682,36.985383
frequency,정종,Jeongjong,4,황주,Hwangju,#69DE82,4,125.77577,38.669308
frequency,정종,Jeongjong,5,경주,Gyeongju,#F32817,8,129.220572,35.833987
frequency,정종,Jeongjong,6,명주,Myeongju,#DEC069,4,128.896978,37.788721
frequency,정종,Jeongjong,7,평주,Pyeongju,#69DCDE,9,126.408036,38.329214
frequency,정종,Jeongjong,8,진주,Jinju,#F31764,5,128.081181,35.191929
frequency,정종,Jeongjong,9,홍주,Hongju,#7E17F3,2,126.654899,36.621606
frequency,정종,Jeongjong,10,합주,Hapju,#F31788,2,128.10602,35.546972
frequency,정종,Jeongjong,11,광주,Gwangju,#1732F3,4,127.271336,37.404627
frequency,정종,Jeongjong,12,승주,Seungju,#F31746,4,127.400603,35.026826
frequency,정종,Jeongjong,13,춘주,Chunju,#DECB69,2,127.754494,37.873067
frequency,정종,Jeongjong,14,동주,Dongju,#69DEC2,3,126.16976,38.426495
frequency,정종,Jeongjong,15,불명,unknown,#AAACB9,3,0,0
frequency,정종,Jeongjong,16,신주,Sinju,#69DEA7,2,125.48408,38.357103
frequency,정종,Jeongjong,17,의성,Uiseong,#F33F17,3,128.64861,36.292603
frequency,정종,Jeongjong,18,해평,Haepyeong,#F37417,2,128.419557,36.239348
frequency,정종,Jeongjong,19,청주,Cheongju,#9C17F3,4,127.509353,36.652229
frequency,정종,Jeongjong,20,상주,Sangju,#AD17F3,2,128.166729,36.412928
frequency,정종,Jeongjong,21,선산,Seonsan,#F35D17,0,128.301303,36.262579
frequency,정종,Jeongjong,22,안산,Ansan,#3517F3,0,126.823336,37.315094
frequency,정종,Jeongjong,23,이천,Icheon,#4917F3,0,127.42989,37.275543
frequency,정종,Jeongjong,24,서천,Seocheon,#B06ECD,0,126.708324,36.085376
frequency,정종,Jeongjong,25,양주,Yangju,#A2D6E2,0,127.105452,37.845503
frequency,정종,Jeongjong,26,전주,Jeonju,#DE699E,0,127.145666,35.816365
frequency,광종,Gwangjong,0,개경,Gaegyeong,#17ADF3,5,126.619833,37.952269
frequency,광종,Gwangjong,1,정주,Jeongju,#70C459,4,125.206375,39.68846
frequency,광종,Gwangjong,2,나주,Naju,#F31735,4,126.718034,34.987771
frequency,광종,Gwangjong,3,충주,Chungju,#7117F3,2,127.898682,36.985383
frequency,광종,Gwangjong,4,황주,Hwangju,#69DE82,6,125.77577,38.669308
frequency,광종,Gwangjong,5,경주,Gyeongju,#F32817,8,129.220572,35.833987
frequency,광종,Gwangjong,6,명주,Myeongju,#DEC069,4,128.896978,37.788721
frequency,광종,Gwangjong,7,평주,Pyeongju,#69DCDE,9,126.408036,38.329214
frequency,광종,Gwangjong,8,진주,Jinju,#F31764,5,128.081181,35.191929
frequency,광종,Gwangjong,9,홍주,Hongju,#7E17F3,2,126.654899,36.621606
frequency,광종,Gwangjong,10,합주,Hapju,#F31788,2,128.10602,35.546972
frequency,광종,Gwangjong,11,광주,Gwangju,#1732F3,4,127.271336,37.404627
frequency,광종,Gwangjong,12,승주,Seungju,#F31746,4,127.400603,35.026826
frequency,광종,Gwangjong,13,춘주,Chunju,#DECB69,2,127.754494,37.873067
frequency,광종,Gwangjong,14,동주,Dongju,#69DEC2,3,126.16976,38.426495
frequency,광종,Gwangjong,15,불명,unknown,#AAACB9,4,0,0
frequency,광종,Gwangjong,16,신주,Sinju,#69DEA7,2,125.48408,38.357103
frequency,광종,Gwangjong,17,의성,Uiseong,#F33F17,3,128.64861,36.292603
frequency,광종,Gwangjong,18,해평,Haepyeong,#F37417,2,128.419557,36.239348
frequency,광종,Gwangjong,19,청주,Cheongju,#9C17F3,4,127.509353,36.652229
frequency,광종,Gwangjong,20,상주,Sangju,#AD17F3,2,128.166729,36.412928
frequency,광종,Gwangjong,21,선산,Seonsan,#F35D17,0,128.301303,36.262579
frequency,광종,Gwangjong,22,안산,Ansan,#3517F3,0,126.823336,37.315094
frequency,광종,Gwangjong,23,이천,Icheon,#4917F3,0,127.42989,37.275543
frequency,광종,Gwangjong,24,서천,Seocheon,#B06ECD,0,126.708324,36.085376
frequency,광종,Gwangjong,25,양주,Yangju,#A2D6E2,0,127.105452,37.845503
frequency,광종,Gwangjong,26,전주,Jeonju,#DE699E,0,127.145666,35.816365
frequency,경종,Gyeongjong,0,개경,Gaegyeong,#17ADF3,10,126.619833,37.952269
frequency,경종,Gyeongjong,1,정주,Jeongju,#70C459,7,125.206375,39.68846
frequency,경종,Gyeongjong,2,나주,Naju,#F31735,4,126.718034,34.987771
frequency,경종,Gyeongjong,3,충주,Chungju,#7117F3,3,127.898682,36.985383
frequency,경종,Gyeongjong,4,황주,Hwangju,#69DE82,8,125.77577,38.669308
frequency,경종,Gyeongjong,5,경주,Gyeongju,#F32817,10,129.220572,35.833987
frequency,경종,Gyeongjong,6,명주,Myeongju,#DEC069,4,128.896978,37.788721
