Index,Label,Sentence
0,0,포화 상태에 있는 용액을 말한다.
1,0,금발 생머리에 푸른 눈.
2,0,그 지위에는 오르고 싶은 일이다.
3,0,"영원한 진리는 신선미에 있거든요.
4,0,무엇보다 가짜배기 감정에 젖지 말 것.
5,0,"곧 촬영에 들어간다.
6,0,2년 후 수양대군은 왕위에 오른다.
7,0,수포에 돌아가리다.
8,0,아이들은 다시금 두려움에 떨기 시작했다.
9,0,이 무렵 아내가 심장병에 걸렸다.
10,0,아침 햇살에 규혁은 잠에서 깨어났다.
11,0,이젠 실전에 들어갔다.
12,0,"미군부대 이전운동에 다시 나서야지요.
13,0,이별에 앞서 포옹이라도 하려는 연인 사이처럼.
14,0,우리 식구는 한참 동안 슬픔에 싸였다.
15,0,소형으로 암갈색에 조밀한 가로무늬가 있다.
16,0,장발에 떡 벌어진 어깨.
17,0,선관위는 결국 일반 투표함부터 개표에 들어갔다.
18,0,연극마저도 그런 위기 상황에 처해 있다.
19,0,며칠째 나는 불면에 시달렸다.
20,0,위험 속에 노출되어 비틀대는 것이다.
21,0,수호도 겁에 질려 있고…."
22,0,모든 언설은 다만 거짓 이름에 지나지 않는다.
23,0,잠결에 얼핏 본 그 사람이었다.
24,0,션은 복수에 나선다.
25,0,따라서 현실에 안주하려는 경향이 짙다.
26,0,“당장 굶을 판에….”
27,0,박창길은 조합에 없었다.
28,0,그런데 내가 매너리즘에 빠진 것일까?
29,0,보름달에 가까웠다.
30,0,송사리떼임에 틀림없다.
31,0,추위 속에 추워하자.
32,0,그녀는 오랜 침묵에 잠겨 있다.
33,0,나는 사랑의 보편성에 매달렸다.
34,0,침묵에 영 죽을 맛이다.
35,0,지회장에는 이종성 형님이 뽑혔다.
36,0,그 경우 펌프실 내부가 혼란에 빠진다.
37,0,젖이 부족하면 변비에 걸린다.
38,0,하지만 형은 언제나 희망에 넘쳐 있었다.
39,0,무사단내에도 계층이 있다.
40,0,이중고에 시달리는 LG다.
41,0,A와 결혼하는 것에 대하여.
42,0,등은 갈색에 검은색 줄무늬가 있다.
43,0,모비스는 5연패의 늪에 빠졌다.
44,0,배는 흰색에 흑갈색 줄무늬가 있다.
45,0,가난에 찌들어버렸어.
46,0,치열한 경쟁 속에 하루를 다투며
47,0,설악산도 비슷한 위기에 처해 있다.
48,0,우린 지금 집단 히스테리에 걸려 있소.
49,0,재고는 언제나 0에 가까웠다.
50,0,호나우두는 8골로 대회 득점왕에 올랐다.
51,0,<12>감기에 잘 걸린다.
52,0,부인과 별거 상태에 있다.
53,0,"꼴에 장개는 가고 싶었어?"
54,0,류씨는 잠시 그런 회의감에 젖었다.
55,0,우리는 유엔과 각별한 관계에 있다.
56,0,각급 학교들이 방학에 들어갔다.
57,0,고민에 빠졌다.
58,0,감동에 젖는다.
59,0,문학은 독자의 심리 상태에 영향을 준다.
60,0,이 추위에 풀들은 잘 자라고 있을까.
61,0,갈증에 더더욱 좋다.
62,0,훈아는 갑자기 무섬증에 휩싸이기 시작했다.
63,0,심한 공복시에도 마찬가지다.
64,0,하지만 무심결에 흘려버린 물 역시 돈!
65,0,2학년에 막 올라가서였다.
66,0,먼저 연예인 섭외에 들어갔다.
67,0,매너리즘에 빠진 걸까.
68,0,극한 위기 속에 억지로 먹는 알약이다.
69,0,우리 사회는 지금 과도기에 있다.
70,0,나는 조금 이상한 감정에 사로잡혔다.
71,0,그 주제에 다른 여자한테로 눈길을 돌리다니.
72,0,단순히 생활에 여유가 생겼기 때문일까.
73,0,이어 백악관도 비상에 들어갔다.
74,0,서울지하철공사 노조가 7일 오전 부분파업에 들어간다.
75,0,이드는 보통 때는 무의식 속에 있다.
76,0,다음날부터 동생과 난 개구리잡이에 나섰다.
77,0,저녁식사 후 뒤풀이에 들어갔다.
78,0,그 때부터 남성은 배신감에 빠진다.
79,0,마치 어둠에 던져진 효철의 마음처럼.
80,0,작품의 화랑 배치가 맘에 안 든다.
81,0,그리고 이제 그녀는 폐경기에 들어섰다.
82,0,아마 회의에 빠져 있을 것이다.
83,0,그러나 나는 더욱더 혼란에 빠져들었다.
84,0,긴장감에 어깨숨을 조심스럽게 내쉬었습니다.
85,0,동현의 혀는 취기에 휘말려 있었다.
86,0,얼마나 단잠에 빠졌을까.
87,0,이런 생각으로 나는 단식단 활동에 들어갔다.
88,0,어머니는 배신감에 몸을 떨었다.
89,0,감기에도 약은 잘 먹지 않는다.’
90,0,가위에 눌린 것인가.
91,0,내가 마음에 드는 시를 말야.
92,0,무아경에 이른다.
93,0,➎ 부부생활에 거부감이 생긴다.
94,0,우리는 공황상태에 빠졌어.
95,0,그녀의 방 역시 어둠에 잠겨 있다.
96,0,백악관도 긴장감에 휩싸여 있다.
97,0,"그 마음에 질렸어!"
98,0,있었음에 분명하다.
99,0,품이도 곰곰 생각에 잠겼습니다.
100,0,"인간은 갈대에 지나지 않는다.
101,0,“남의 집 살이 하는 주제에….”
102,0,"경지 씨 사랑에 빠졌구나."
103,0,내가 양심선언하고 단식에 들어가겠어."
104,0,등은 밤색에 검은색 줄무늬가 있다.
105,0,그런데 그 자리에 내가 빠진다니.
106,0,하지만 거기에 그치지 않아야 한다.
107,0,교사는 거기에 약간만 지도하면 된다.
108,0,그 모순 속에 찢겨지는 존재다.
109,0,정당들도 네티즌 공략에 나섰다.
110,0,그녀와 대등한 위치에 달해야 한다.
111,0,등은 올리브 갈색에 암색 줄무늬가 있다.
112,0,이 사업은 분명 정보산업의 핵심에 속한다.
113,0,자네는 왜 튀김 국수에 새우 튀김을 쓰는가.
114,0,불에 기름을 붓는 꼴이었다.
115,0,사람들은 또 혼란에 빠졌다.
116,0,나도 세상살이에 고수가 되고 싶었다.
117,0,키스에 응하며 그녀가 말했다.
118,0,생각에 잠기는 모양입니다.
119,0,열심히 공부하면서 일에 임하겠어요"
120,0,◇서쪽의 개운함에 빠진 홍순정씨
121,0,아빠는 무언가 생각에 잠기십니다.
122,0,만화는 아동 정서에 도움이 된다.
123,0,얼결에 전두성이라고 작명을 했다.
124,0,바칼로레아의 논제는 화두(話頭)에 가깝다.
125,0,우리나라 산업발전에도 도움이 되겠지요.
126,0,자본주의에 첫발을 내디딘 헝가리.
127,0,서스럼없는 사이에
128,0,컴퓨터 프로그램은 그 제작에 비용이 많이 든다.
129,0,윤리의 본질은 자율성에 있다.
130,0,경창종합학교 동료들은 수술비 모금 운동에 나섰다.
131,0,그러나 그것은 다만 생각에 그쳤다.
132,0,그 열쇠는 상승 효과에 있다.
133,0,칼은 그러나 도구에 그치지 않는다.
