Index,Label,Sentence
0,0,그러나 진공 상태로 포장되어 있는 사랑이란 없다.
1,0,한 마디로 하여 정신병자인 것이다.
2,0,복수를 일본어로는 '가따끼우찌'라고 한다.
3,0,마지막으로 "기죽지 마라."
4,0,관세음 보살 불교에서 대자대비의 상징으로 받드는 보살.
5,0,일곱시간을 내리 입석으로 갔다.
6,0,그런 개는 천상 씨받이로나 쓰일 뿐이지요."
7,0,그 댓가로 돈을 요구한 병사도 있었다.
8,0,조금쯤 슬퍼하는 표정으로.
9,0,「마지막으로 한말씀 더 드리죠.
10,0,「다시 그 사람 얘기로 돌아가죠.
11,0,마치 포장을 하듯 어둠으로 말이야.
12,0,우산 생산을 보기로 생각해 보자.
13,0,지리여행으로 알맞은 곳이다.
14,0,위험사회는 참여로 탈출할 수 있다.
15,0,조카가 혼잣말로 중얼거렸다.
16,0,언제나 저를 신중한 사람으로 믿고 있었거든요.
17,0,그때부터 나는 영옥이로 통했다.
18,0,정 사장은 공인회계사 출신으로 재무 관리에 밝다.
19,0,숨이 막힐 정도로 격렬한 키스였다.
20,0,아이가 체하면 약으로 소금을 먹이던 사람들.
21,0,편법으로 양쪽에서 혜택을 누린 것이다.
22,0,단어 선택은 효과적으로 되어 있는가?
23,0,거의 매일 공짜로 춤을 추었다.
24,0,마지막으로 통신 프로그램이 있어야 한다.
25,0,못 생긴 박진영으로 더 유명하다.
26,0,춘기가 못마땅한 얼굴로 성호를 쏘아봤다.
27,0,대충 얘기는 그 정도로 매듭지어졌다.
28,0,아래에 각 주석방법을 소개하기로 하겠다.
29,0,부동자세로 세워 놓아야 한다.
30,0,"진짜로 용천뱅이가 되자는 말이오.
31,0,비밀 선거 선거 # 2 무기명 투표로 하는 선거.
32,0,그는 꽤 한참 동안 이런저런 일로 시간을 보냈다.
33,0,나는 신경질적으로 전원을 꺼버린다.
34,0,94년 입단동기로 원정 때 한 방을 쓰는 룸메이트.
35,0,1993년 시인 김춘수 이수익 추천으로 '현대시학' 통해 등단
36,0,세계는 제자리로 돌아갔다.
37,0,K가 약간 빈정거리는 어투로 말했다.
38,0,서부 아시아가 원산지로 거의 전세계에서 가꾸고 있다.
39,0,FM 음악 프로그램을 예로 들어보자.
40,0,나는 환장할 심정으로 가슴을 쳤다.
41,0,Louis)>에서는 빅터 조리가 콴트릴로 나오더라."
42,0,다시 3학년의 과목으로 들어갔다.
43,0,다소 미안한 표정으로 아줌마가 호들갑을 떨었다.
44,0,회로도 먹고 튀김 구이에 제격이다.
45,0,잔돈으로 바꾸어 주세요.
46,0,열매는 타원형으로 10월경에 익는다.
47,0,한마디로 일고의 가치조차 없다는 것이다.
48,0,나는 건성으로 말을 건네었다.
49,0,학교에서 아이들이 장난으로 카드를 보냈다.
50,0,김치나 장항아리를 술독으로 사용할 수는 없지요.
51,0,그러나 끝으로 기억해 주기 바란다.
52,0,시련을 영광으로 맞으라.
53,0,냉동인간으로 화석화 되는 겁니다.
54,0,그는 이런 식으로 거침없이 얘기를 풀어 나갔다.
55,0,다른 방식으로의 설명이 뒤따르는 경우
56,0,의아스럽다는 얼굴로 효철이 물었다.
57,0,탁구가 취미로 아마추어 수준을 넘는다.
58,0,몸체 부분을 세로로 세운 원통 모양이다.
59,0,오늘은 처음으로 토마토를 실컷 먹었다.
60,0,성호가 김빠진다는 식으로 말했다.
61,0,이러한 특성은 무한한 창조력으로 나타난다.
62,0,채란은 망설이는 어조로 제의했다.
63,0,샐러드 재료로 웨스턴 오믈렛을 만들기 시작했다.
64,0,전통적으로 널리 쓰여 온 방법이다.
65,0,잠시 후 K는 약간 빈정거리는 어투로 말했다.
66,0,고마움에 대한 정표로 대상자에게 주는 패이다.
67,0,그나마 중학교도 고학으로 다녔다.
68,0,둘 다 '웃음'을 전제로 한 말이다.
69,0,이것을 비판적으로 넘어서야 할 것이다.
70,0,벼락부자로 오해받기 때문이다.
71,0,타이밍상 아웃으로 보였는데.
72,0,다시 논의하면 잘될 것으로 믿는다."
73,0,"군대 생활을 통신병으로 했어요.
74,0,유지의 말이 논리적으로 옳기는 했다.
75,0,프로그램 내용도 전적으로 에쵸티만을 위한 것이다.
76,0,답답도 하실테니 심심풀이로 한 번 보시지요?」
77,0,이쯤에서 민요로 얘기를 돌려봅시다.
78,0,고전주의자들은 그림도 그런 식으로 그렸다.
79,0,가르시아는 난감한 얼굴로 잠시 하늘을 쳐다보았다.
80,0,사라의 마음은 불만으로 가득 찼다.
81,0,난 이제 이곳 자딘으로 영원히 돌아왔어."
82,0,그 무렵 처음으로 몽정을 했다.
83,0,그러나 한편으론 다행이라는 생각도 들었지.
84,0,민주주의로 모든 것을 해결할 수는 없다.
85,0,말하기로 되어 있어요.
86,0,또 다른 입력장치로는 마우스와 스캐너 등이 있다.
87,0,그것도 아주 멋있고 낭만적으로.
88,0,나는 건성으로 밀감속을 씹었다.
89,0,펜싱 경기의 용어는 모두 프랑스어로 쓰이고 있다.
90,0,쇠고기는 후라이판째로 밥상 가운데 놓여 있다.
91,0,한마디로 자신의 격을 낮추는 것이다.
92,0,서양의 눈에 동양이 언제 무엇으로 보였었는가?
