ID,Discourse,Genre,Interactivity,Social_context,Event_structure,Channel,Planning_type,Subject,B_B,B_I,B_L,B_U,I_B,I_L,I_U,L_B,L_I,L_L,L_U,U_B,U_I,U_L,U_U,LI_UI_LB_UB,IL_IU_BL_BU,deY_Z,LL_UL_LU_UU,Total
D0001,Discourse,Argumentation,interactive,Private,Dialogue,Face to Face,semi-spontaneous,interview,43,96,3,1,28,34,2,3,83,35,0,3,9,6,0,98,40,138,41,179
D0002,Discourse,Argumentation,interactive,Private,Dialogue,Face to Face,semi-spontaneous,interview,32,50,2,1,42,29,0,1,45,36,1,1,3,9,4,50,32,82,50,132
D0003,Discourse,Description,semi-interactive,Private,Dialogue,Face to Face,spontaneous,interview,19,28,0,3,8,5,0,0,23,21,0,0,0,1,1,23,8,31,23,54
D0004,Discourse,Description,interactive,Private,Dialogue,Face to Face,semi-spontaneous,interview,39,68,2,0,33,14,1,1,56,53,0,0,5,4,1,62,17,79,58,137
D0005,Discourse,Description,semi-interactive,Private,Dialogue,Face to Face,spontaneous,interview,25,83,1,0,11,16,1,2,56,26,0,6,6,1,2,70,18,88,29,117
D0006,Discourse,Argumentation,interactive,Private,Dialogue,Face to Face,semi-spontaneous,interview,64,64,3,0,29,28,1,5,35,70,3,8,4,5,10,52,32,84,88,172
D0007,Discourse,Procedural,non-interactive,Private,Dialogue,Face to Face,spontaneous,travel-planning,10,6,0,0,1,1,0,1,4,11,0,0,0,0,0,5,1,6,11,17
D0008,Discourse,Procedural,non-interactive,Private,Dialogue,Face to Face,spontaneous,travel-planning,44,26,3,1,17,17,0,4,23,44,0,3,0,3,6,30,21,51,53,104
D0009,Discourse,Description,interactive,Private,Dialogue,Face to Face,spontaneous,conversation,91,77,5,3,35,39,0,4,71,87,1,6,7,6,11,88,47,135,105,240
D0017,Discourse,Procedural,non-interactive,Private,Dialogue,Face to Face,spontaneous,travel-planning,10,1,0,0,3,3,0,0,1,10,0,0,0,0,0,1,3,4,10,14
D0020,Discourse,Procedural,non-interactive,Private,Dialogue,Face to Face,spontaneous,travel-planning,6,6,0,0,0,0,0,0,5,6,1,0,0,0,2,5,0,5,9,14
D1001,Discourse,Description,semi-interactive,Private,Dialogue,Face to Face,planned,interview,44,8,0,1,40,42,1,3,5,44,0,0,0,1,9,8,44,52,54,106
D1002,Discourse,Description,semi-interactive,Private,Dialogue,Face to Face,spontaneous,lesson,11,22,0,0,6,7,0,2,10,12,0,0,0,0,2,12,7,19,14,33
D1003,Discourse,Description,semi-interactive,Private,Dialogue,Face to Face,spontaneous,Life story,30,15,0,0,3,4,0,0,12,30,0,0,0,0,1,12,4,16,31,47
D2001,Discourse,Narrative,interactive,Public,Dialogue,Broadcasting,semi-spontaneous,interview,89,103,0,0,32,34,0,2,86,93,0,5,4,1,4,97,34,131,98,229
D2002,Discourse,Argumentation,interactive,Public,Dialogue,Broadcasting,planned,interview,43,32,1,0,21,28,0,1,28,34,1,1,2,3,1,32,29,61,39,100
D2003,Discourse,Description,semi-interactive,Public,Dialogue,Broadcasting,spontaneous,sportscasting,56,99,5,3,48,56,0,7,96,53,2,7,8,4,1,118,64,182,60,242
D2004,Discourse,Narrative,semi-interactive,Public,Dialogue,Broadcasting,spontaneous,life story,44,48,0,1,17,16,0,0,39,46,0,1,3,0,1,43,17,60,47,107
D2005,Discourse,Narrative,semi-interactive,Public,Dialogue,Broadcasting,planned,interview,41,31,0,0,17,17,0,0,25,44,0,3,1,0,0,29,17,46,44,90
D2006,Discourse,Oratory,semi-interactive,Public,Dialogue,Face to Face,planned,Political speech,6,1,0,2,32,30,1,0,1,8,0,0,0,0,0,1,33,34,8,42
D2007,Discourse,Argumentation,interactive,Public,Dialogue,Broadcasting,spontaneous,Conversation,63,75,4,2,24,29,0,2,64,60,4,8,5,4,7,79,35,114,75,189
D2008,Discourse,Argumentation,interactive,Public,Dialogue,Broadcasting,spontaneous,interview,60,98,1,0,51,60,1,7,68,57,1,5,2,5,4,82,62,144,67,211
D2009,Discourse,Argumentation,semi-interactive,Public,Dialogue,Broadcasting,planned,interview,37,38,1,0,18,19,0,4,26,40,0,1,2,0,0,33,20,53,40,93
D2010,Discourse,Narrative,interactive,Public,Dialogue,Broadcasting,spontaneous,interview,74,48,1,1,32,33,0,2,28,79,0,6,8,1,9,44,35,79,89,168
D2011,Discourse,Argumentation,semi-interactive,Public,Dialogue,Broadcasting,planned,Advertising,70,44,2,0,23,21,1,1,40,73,1,5,2,3,2,48,24,72,79,151
D2012,Discourse,Description,interactive,Public,Dialogue,Broadcasting,spontaneous,interview,29,34,0,0,24,26,0,1,29,28,0,0,1,0,1,31,26,57,29,86
D2013,Discourse,Argumentation,interactive,Public,Dialogue,Broadcasting,spontaneous,interview,21,39,0,0,14,12,0,0,39,23,0,0,1,0,0,40,12,52,23,75
M0001,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,10,4,0,0,2,2,0,0,4,10,0,0,0,0,0,4,2,6,10,16
M0002,Discourse,Description,semi-interactive,Private,Monologue,Face to Face,spontaneous,movie scene description,9,4,0,0,3,3,0,0,4,9,0,0,0,0,0,4,3,7,9,16
M0003,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,11,22,0,0,3,4,0,1,14,11,0,1,0,1,1,16,4,20,13,33
M0004,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,5,1,0,0,1,1,0,0,1,5,0,0,0,0,0,1,1,2,5,7
M0005,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,8,4,0,0,1,1,0,0,5,8,0,1,0,1,0,6,1,7,9,16
M0006,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,3,8,0,0,1,1,0,0,8,3,0,0,0,0,0,8,1,9,3,12
M0007,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,14,7,0,0,0,0,0,0,7,14,0,0,0,0,0,7,0,7,14,21
M0008,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,2,7,0,0,0,0,0,0,7,2,0,0,0,0,0,7,0,7,2,9
M0009,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,14,18,0,0,1,1,0,0,17,14,0,0,0,0,0,17,1,18,14,32
M0010,Discourse,Procedural,non-interactive,Private,Dialogue,Face to Face,spontaneous,travel-planning,8,2,0,0,0,0,0,0,2,8,0,0,0,0,0,2,0,2,8,10
M0011,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,9,5,0,1,4,2,0,0,4,10,0,0,0,0,0,4,3,7,10,17
M0012,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,5,1,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,1,5,6
M0013,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,7,7,0,0,2,3,0,0,6,6,0,0,0,0,0,6,3,9,6,15
M0014,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7
M0015,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,7,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,1,1,7,8
M0016,Discourse,Procedural,non-interactive,Private,Monologue,Face to Face,spontaneous,travel-planning,10,12,0,0,3,2,0,0,10,11,0,0,0,0,0,10,2,12,11,23
M0018,Discourse,Description,semi-interactive,Private,Monologue,Face to Face,spontaneous,movie scene description,13,4,0,0,7,7,0,0,4,13,0,0,0,0,0,4,7,11,13,24
M0019,Discourse,Description,semi-interactive,Private,Monologue,Face to Face,spontaneous,movie scene description,6,11,0,0,2,4,0,2,6,6,0,0,0,0,0,8,4,12,6,18
